,name,whisky_type,alcohol_range,stock_info,price,VAT,per_litre_info
0,"Highland Harvest Organic Blended Malt
7 Casks Half Bottle",Blended Malt Scotch Whisky,35cl / 40%,In Stock,£16.45,£13.71,£47 per litre
1,Naked Grouse Blended Malt,Blended Malt Scotch Whisky,70cl / 40%,In Stock,£26.95,£22.46,£38.50 per litre
2,Monkey Shoulder,Blended Malt Scotch Whisky,70cl / 40%,In Stock,£27.75,£23.13,£39.64 per litre
3,"Highland Harvest
7 Casks Organic Blended Malt Whisky",Blended Malt Scotch Whisky,70cl / 40%,In Stock,£27.95,£23.29,£39.93 per litre
4,Sheep Dip Blended Malt,Blended Malt Scotch Whisky,70cl / 40%,In Stock,£28.95,£24.13,£41.36 per litre
5,Copper Dog,Speyside Blended Malt Scotch Whisky,70cl / 40%,In Stock,£28.95,£24.13,£41.36 per litre
6,Copper Dog,Speyside Blended Malt Scotch Whisky,70cl / 40%,In Stock,£28.95,£24.13,£41.36 per litre
7,"Peat (Pure Islay)
Elements of Islay","Islay Blended Malt Scotch Whisky
Elixir Distillers",50cl / 45%,In Stock,£29.95,£24.96,£59.90 per litre
8,Berry Bros & Rudd Sherry Cask Blended Malt,"Blended Malt
Berry Bros & Rudd",70cl / 44.2%,In Stock,£31.25,£26.04,£44.64 per litre
9,Berry Bros & Rudd Peated Cask Blended Malt,"Blended Malt
Berry Bros & Rudd",70cl / 44.2%,In Stock,£31.25,£26.04,£44.64 per litre
10,Berry Bros & Rudd Islay Blended Malt,"Islay Blended Malt
Berry Bros & Rudd",70cl / 44.2%,In Stock,£31.25,£26.04,£44.64 per litre
11,Berry Bros & Rudd Speyside Blended Malt,"Speyside Blended Malt
Berry Bros & Rudd",70cl / 44.2%,In Stock,£31.25,£26.04,£44.64 per litre
12,"Smokey Joe
Islay Blended Malt Whisky",Islay Blended Malt Scotch Whisky,70cl / 46%,In Stock,£31.95,£26.63,£45.64 per litre
13,Smokey Monkey Shoulder,Blended Malt Scotch Whisky,70cl / 40%,In Stock,£32.45,£27.04,£46.36 per litre
14,Shackleton Blended Malt,Blended Malt Scotch Whisky,70cl / 40%,In Stock,£34.95,£29.13,£49.93 per litre
15,Angels' Nectar Blended Malt 1st Edition,Blended Malt Scotch Whisky,70cl / 40%,In Stock,£35.25,£29.38,£50.36 per litre
16,"The Epicurean
Douglas Laing","Lowland Blended Malt Scotch Whisky
Douglas Laing",70cl / 46.2%,In Stock,£35.45,£29.54,£50.64 per litre
17,Rock Island,"Island Blended Malt Scotch Whisky
Douglas Laing",70cl / 46.8%,In Stock,£36.45,£30.38,£52.07 per litre
18,"Scallywag Speyside Blended Malt
Sock Gift Pack","Speyside Blended Malt Scotch Whisky
Douglas Laing",70cl / 46%,In Stock,£36.45,£30.38,£52.07 per litre
19,Highland Journey,"Highland Blended Malt Scotch Whisky
Hunter Laing",70cl / 46.2%,In Stock,£36.45,£30.38,£52.07 per litre
20,Timorous Beastie Highland Blended Malt,"Highland Blended Malt Scotch Whisky
Douglas Laing",70cl / 46.8%,In Stock,£36.45,£30.38,£52.07 per litre
21,Scallywag Speyside Blended Malt,"Speyside Blended Malt Scotch Whisky
Douglas Laing",70cl / 46%,In Stock,£36.45,£30.38,£52.07 per litre
22,"Big Peat
Islay Blended Malt",Douglas Laing,70cl / 46%,In Stock,£36.45,£30.38,£52.07 per litre
23,Poit Dhubh 8 Year Old,Blended Malt Scotch Whisky,70cl / 43%,In Stock,£37.95,£31.63,£54.21 per litre
24,Johnnie Walker Green Label 15 Year Old,Blended Malt Scotch Whisky,70cl / 43%,In Stock,£37.95,£31.63,£54.21 per litre
25,Wemyss Malts Spice King,"Blended Malt Scotch Whisky
Wemyss",70cl / 46%,In Stock,£37.95,£31.63,£54.21 per litre
26,Wemyss Malts The Hive,"Blended Malt Scotch Whisky
Wemyss",70cl / 46%,In Stock,£37.95,£31.63,£54.21 per litre
27,Mossburn Speyside Blended Malt,"Blended Malt Scotch Whisky
Mossburn",70cl / 46%,In Stock,£38.75,£32.29,£55.36 per litre
28,"Peat – Full Proof
Elements of Islay","Islay Blended Malt Scotch Whisky
Elixir Distillers",50cl / 59.3%,In Stock,£38.95,£32.46,£77.90 per litre
29,Wemyss Malts Peat Chimney,"Blended Malt Scotch Whisky
Wemyss",70cl / 46%,In Stock,£39.95,£33.29,£57.07 per litre
30,Mossburn Island Blended Malt,"Island Blended Malt Scotch Whisky
Mossburn",70cl / 46%,In Stock,£40.75,£33.96,£58.21 per litre
31,Rock Island 10 Year Old,"Island Blended Malt Scotch Whisky
Douglas Laing",70cl / 46%,In Stock,£40.95,£34.13,£58.50 per litre
32,Macdonald's Glencoe 8 Year Old,"Blended Scotch Malt Whisky
Ben Nevis",70cl / 58%,In Stock,£41.95,£34.96,£59.93 per litre
33,Wemyss Malts Spice King 12 Year Old,"Blended Malt Scotch Whisky
Wemyss",70cl / 40%,In Stock,£42.45,£35.38,£60.64 per litre
34,Wemyss Malts The Hive 12 Year Old,"Blended Malt Scotch Whisky
Wemyss",70cl / 40%,In Stock,£42.45,£35.38,£60.64 per litre
35,Poit Dhubh 12 Year Old,Blended Malt Scotch Whisky,70cl / 43%,In Stock,£42.95,£35.79,£61.36 per litre
36,"Wemyss Malts Nectar Grove
Family Collection","Blended Malt Scotch Whisky
Wemyss",70cl / 46%,In Stock,£43.95,£36.63,£62.79 per litre
37,Compass Box Oak Cross,Highland Blended Malt Scotch Whisky,70cl / 43%,In Stock,£44.75,£37.29,£63.93 per litre
38,"Wemyss Blooming Gorse
Family Collection","Blended Malt Scotch Whisky
Wemyss",70cl / 46%,In Stock,£44.95,£37.46,£64.21 per litre
39,Angels' Nectar Rich Peat Edition,Highland Blended Malt Scotch Whisky,70cl / 46%,In Stock,£45.25,£37.71,£64.64 per litre
40,Wemyss Spice King Cask Strength Batch No 002,"Blended Malt Scotch Whisky
Wemyss",70cl / 58%,In Stock,£45.75,£38.13,£65.36 per litre
41,Wemyss Malts The Hive Cask Strength Batch No 002,"Blended Malt Scotch Whisky
Wemyss",70cl / 55.5%,In Stock,£45.75,£38.13,£65.36 per litre
42,"Rock Island Sherry Limited Edition
Douglas Laing","Blended Malt Scotch Whisky
Douglas Laing",70cl / 46.8%,In Stock,£45.95,£38.29,£65.64 per litre
43,Compass Box The Peat Monster,"Blended Malt Scotch Whisky
Compass Box",70cl / 46%,In Stock,£46.45,£38.71,£66.36 per litre
44,"Wemyss Malts Flaming Feast
Family Collection","Blended Malt Scotch Whisky
Wemyss",70cl / 46%,In Stock,£46.95,£39.13,£67.07 per litre
45,Compass Box The Spice Tree,"Highland Blended Malt Scotch Whisky
Compass Box",70cl / 46%,In Stock,£46.95,£39.13,£67.07 per litre
46,"Big Peat Blended Malt
Xmas Edition 2019","Islay Blended Malt Scotch Whisky
Douglas Laing",70cl / 53.7%,In Stock,£48.95,£40.79,£69.93 per litre
47,Wemyss Malts Peat Chimney Cask Strength Batch No 002,"Blended Malt Scotch Whisky
Wemyss",70cl / 57%,In Stock,£48.95,£40.79,£69.93 per litre
48,"Sainsbury's Malt Whisky
Bot.1990s",Scotch Blended Malt Whisky,70cl / 40%,In Stock,£49.95,£41.63,£71.36 per litre
49,Compass Box The Story of the Spaniard,"Blended Malt Scotch Whisky
Compass Box",70cl / 43%,In Stock,£49.95,£41.63,£71.36 per litre
50,"Big Peat Blended Malt
Xmas Edition 2018","Blended Malt Scotch Whisky
Douglas Laing",70cl / 53.9%,In Stock,£52.75,£43.96,£75.36 per litre
51,Douglas Laing Remarkable Regional Malts 10 Year Old,"Blended Malt Scotch Whisky
Douglas Laing",70cl / 48%,In Stock,£56.95,£47.46,£81.36 per litre
52,"Pete'Series Blended Islay Malt
Asta Morris","Islay Blended Malt Scotch Whisky
Asta Morris",70cl / 46%,In Stock,£59.95,£49.96,£85.64 per litre
53,"Copper Pot 8 Year Old
Bot.1980s",Blended Malt Scotch Whisky,75cl / 40%,In Stock,£59.95,£49.96,£79.93 per litre
54,"Campbeltown Blended Malt 5 Year Old
Hidden Spirits","Blended Malt Scotch Whisky
Hidden Spirits",70cl / 48%,In Stock,£62.95,£52.46,£89.93 per litre
55,Poit Dhubh 21 Year Old,Blended Malt Scotch Whisky,70cl / 43%,In Stock,£71.75,£59.79,£102.50 per litre
56,"King of Trees Highland 10 Year Old
Whisky Works","Highland Blended Malt Scotch Whisky
Whisky Works",70cl / 46.5%,In Stock,£73.95,£61.63,£105.64 per litre
57,"A Fine Christmas Malt 2020
19 Year Old","Blended Malt Scotch Whisky
The Whisky Exchange",70cl / 44.5%,In Stock,£74.95,£62.46,£107.07 per litre
58,"Compass Box Peat Monster Arcana
20th Anniversary","Blended Malt Scotch Whisky
Compass Box",70cl / 46%,In Stock,£74.95,£62.46,£107.07 per litre
59,"Blended Malt 2009
9 Year Old Single Cask Nation","Blended Malt Scotch Whisky
Single Cask Nation",70cl / 65.4%,In Stock,£74.95,£62.46,£107.07 per litre
60,"Rock Island 21 Year Old
Gift Box","Blended Malt Scotch Whisky
Douglas Laing",70cl / 46.8%,In Stock,£81.95,£68.29,£117.07 per litre
61,"The Exceptional Malt Second Edition
Sutcliffe & Son","Blended Malt Scotch Whisky
Sutcliffe & Son",70cl / 43%,In Stock,£83.95,£69.96,£119.93 per litre
62,Compass Box Juveniles,"Blended Malt Scotch Whisky
Compass Box",70cl / 46%,In Stock,£89.95,£74.96,£128.50 per litre
63,Compass Box Spice Tree Extravaganza,Blended Malt Scotch Whisky,70cl / 46%,In Stock,£92.45,£77.04,£132.07 per litre
64,Compass Box Spice Tree Extravaganza,Blended Malt Scotch Whisky,70cl / 46%,In Stock,£92.45,£77.04,£132.07 per litre
65,"Cockburn & Murray 6 Year Old Pure Malt
Bot.1970s",Blended Malt Scotch Whisky,75cl / 43%,In Stock,£99.95,£83.29,£133.27 per litre
66,Compass Box The Circle,"Blended Scotch Whisky
Compass Box",70cl / 46%,In Stock,£120,£100 e,£171.43 per litre
67,"Williamson 2005 Islay Blended Malt
12 Year Old The Cooper's Choice",Islay Blended Malt Scotch Whisky,70cl / 56.5%,In Stock,£130,£108.3,£185.71 per litre
68,"Compass Box Magic Cask
2020 Release","Blended Malt Scotch Whisky
Compass Box",70cl / 46%,In Stock,£145,£120.8,£207.14 per litre
69,"Collectivum XXVIII
Special Releases 2017",Blended Malt Scotch Whisky,70cl / 57.3%,In Stock,£145,£120.8,£207.14 per litre
70,"The E&K 5 Year Old Malt Whisky
Indian & Scotch Fusion",Blended Malt Scotch Whisky,70cl / 57.8%,In Stock,£150,£125 e,£214.29 per litre
71,Compass Box Phenomenology,Blended Malt Scotch Whisky,70cl / 46%,In Stock,£150,£125 e,£214.29 per litre
72,"Cladach Blended Malt
Special Releases 2018",Blended Malt Scotch Whisky,70cl / 57.1%,In Stock,£160,£133.3,£228.57 per litre
73,"The Peat Monster Cask Strength
Magnum","Blended Malt Scotch Whisky
Compass Box",150cl / 57.3%,In Stock,£175,£145.8,£116.67 per litre
74,"Bowmore Vatting - Distiller of the Year
8 Year Old",Blended Malt Scotch Whisky,70cl / 40%,In Stock,£199,£165.8,£284.29 per litre
75,"Old Bannockburn (Deanston)
Bot.1970s",Blended Malt Scotch Whisky,75cl / 40%,In Stock,£199,£165.8,£265.33 per litre
76,"Strathconon 12 Year Old
Bot.1970s",Blended Malt Scotch Whisky,75.7cl / 40%,In Stock,£225,£187.5,£297.23 per litre
77,Serendipity 12 Year Old,Blended Malt Scotch Whisky,70cl / 40%,In Stock,£240,£200 e,£342.86 per litre
78,"Compass Box Flaming Heart
2018 Edition Magnum","Blended Malt Scotch Whisky
Compass Box",150cl / 48.9%,In Stock,£250,£208.3,£166.67 per litre
79,Chivas Century Of Malts,Blended Malt Scotch Whisky,75cl / 43%,In Stock,£250,£208.3,£333.33 per litre
80,Collection Moon 8 Year Old,Moon Import,70cl / 43%,In Stock,£299,£249.1,£427.14 per litre
81,Collection Moon 12 Year Old,"Blended Malt Scotch Whisky
Moon Import",70cl / 45%,In Stock,£299,£249.1,£427.14 per litre
82,"Glencoe 8 Year Old
Bot.1970s",Blended Malt Scotch Whisky,75cl / 43%,In Stock,£350,£291.6,£466.67 per litre
83,"Ghosted Reserve 26 Year Old
William Grant & Sons",Blended Malt Scotch Whisky,70cl / 42%,In Stock,£375,£312.5,£535.71 per litre
84,"Speyside Blended Malt 1973
45 Year Old Whisky Show 2019","Speyside Blended Malt Scotch Whisky
Distillery Bottling",70cl / 45.1%,In Stock,£399,£332.5,£570 per litre
85,"Speyside Blended Malt 1973
45 Year Old Whisky Show 2019","Speyside Blended Malt Scotch Whisky
Distillery Bottling",70cl / 45.1%,In Stock,£399,£332.5,£570 per litre
86,"Greer's Old Vatted Highland
Bot.1930s",Blended Scotch Malt Whisky,75cl / 40%,In Stock,£500,£416.6,£666.67 per litre
87,"Sandy Macdonald
Bot.1940s",Blended Malt Scotch Whisky,75cl / 40%,In Stock,£750,£625 e,"£1,000 per litre"
88,"The Last Vatted Malt
Compass Box","Blended Malt Scotch Whisky
Compass Box",70cl / 53.7%,In Stock,"£1,000",£833.3,"£1,428.57 per litre"
89,"No Age Pure Malt
First Edition 1992 Samaroli","Blended Malt Scotch Whisky
Samaroli",70cl / 46%,In Stock,"£1,200","£1,000","£1,714.29 per litre"
